sample	source	readname_prefix
11071_p1	blood	m54329U_230223_051016
11071_p1	blood	m64076_230218_190020
11071_p1	blood	m64076_230220_044309
11071_p1	cells	m54329U_230423_013055
11071_p1	cells	m64076_230413_163907
11071_s1	blood	m54329U_230206_215325
11071_s1	blood	m54329U_230208_065901
11071_s1	blood	m64076_230208_072402
11071_s1	cells	m84046_230520_221908_s4
11080_p1	blood	m54329U_220725_182752
11080_p1	blood	m54329U_220805_201656
11080_p1	blood	m54329U_220807_054533
11080_p1	blood	m54329U_220808_164253
11080_p1	blood	m54329U_220912_151843
11080_p1	blood	m64076_220809_015354
11129_p1	blood	m84046_231217_010934_s4
11129_p1	blood	m84046_231217_051007_s3
11129_p1	blood	m84046_231218_200603_s1
11129_p1	blood	m84046_231219_020419_s3
11129_p1	cells	m84046_240119_174103_s4
11201_p1	cells	m84046_230412_163336_s3
11201_p1	cells	m84046_230414_195706_s1
11201_p1	cells	m84046_230414_202812_s2
11201_s1	cells	m84046_230427_202048_s3
11201_s1	cells	m84046_230502_193328_s1
11266_p1	blood	m84046_230920_221925_s4
11266_p1	blood	m84046_230923_222306_s1
11266_p1	blood	m84046_230923_225417_s2
11266_p1	blood	m84046_230925_231133_s3
11266_s1	cells	m84046_231203_090315_s2
11266_s1	cells	m84046_231203_170228_s1
11414_s1	cells	m84046_231210_082847_s4
11414_s1	cells	m84046_231219_020419_s3
11611_p1	blood	m64076_220811_194329
11611_p1	blood	m64076_220813_063819
11611_p1	blood	m64076_220814_173524
11611_p1	blood	m64076_220819_162357
11611_p1	blood	m64076_220821_032138
11918_p1	blood	m64076_201030_190950
11918_p1	blood	m64076_201104_054109
11918_p1	blood	m64076_201217_222319
11918_p1	blood	m64076_201222_034553
11918_p1	blood	m64076_201227_213456
11918_p1	blood	r64076_20201220_211828
11918_p1	cells	m54329U_220424_031314
11918_s1	blood	m54329U_201105_053119
11918_s1	blood	m54329U_201224_022126
11918_s1	blood	m64076_201101_012408
11918_s1	blood	m64076_201102_232641
11918_s1	blood	m64076_201219_043815
11918_s1	blood	m64076_201220_213059
11918_s1	blood	m64076_210101_093159
11918_s1	blood	m64076_210102_160010
11918_s1	cells	m54329U_220425_141228
11964_p1	blood	m84046_230812_030944_s3
11964_p1	blood	m84046_230812_034050_s4
11964_p1	blood	m84046_230816_233444_s3
11964_p1	blood	m84046_230817_000550_s4
11964_p1	blood	m84046_230826_195507_s4
11964_p1	cells	m84046_230909_224617_s3
11964_s1	blood	m84046_230809_231120_s1
11964_s1	blood	m84046_230809_234226_s2
11964_s1	blood	m84046_230816_233444_s3
11964_s1	blood	m84046_230817_000550_s4
11964_s1	blood	m84046_230826_195507_s4
11964_s1	cells	m84046_230909_224617_s3
12220_p1	blood	m64076_201113_210017
12220_p1	blood	m64076_201115_031448
12220_p1	blood	m64076_201116_094251
12220_p1	blood	m64076_201117_161100
12220_p1	blood	m64076_201119_165121
12220_p1	blood	m64076_201120_230551
12220_p1	cells	m64076_220424_212237
12220_s1	blood	m54329U_201122_184958
12220_s1	blood	m54329U_201125_195432
12220_s1	blood	m54329U_201127_020943
12220_s1	blood	m54329U_201128_083836
12220_s1	blood	m64076_201122_053357
12220_s1	blood	m64076_201202_185935
12220_s1	cells	m64076_220421_232941
12220_s1	cells	m64076_220428_213238
12220_s1	cells	m64076_220430_065643
12237_p1	blood	m84046_230826_202613_s1
12237_p1	blood	m84046_230826_205719_s2
12237_p1	blood	m84046_230829_220600_s4
12237_p1	blood	m84046_230902_000442_s2
12237_s1	blood	m84046_230816_223318_s1
12237_s1	blood	m84046_230823_180236_s1
12237_s1	blood	m84046_230823_183258_s2
12237_s1	blood	m84046_230902_000442_s2
12237_s1	cells	m84046_231012_215032_s4
12456_p1	blood	m54329U_201215_202412
12456_p1	blood	m64076_201209_022639
12456_p1	blood	m64076_201212_011002
12456_p1	blood	m64076_201213_072519
12456_s1	blood	m54329U_201225_083601
12456_s1	blood	m54329U_201226_150416
12456_s1	blood	m54329U_201227_213156
12456_s1	blood	m54329U_201229_204824
12456_s1	blood	m54329U_201231_030332
12456_s1	cells	m54329U_221122_222033
12651_p1	cells	m84046_230411_214854_s2
12651_p1	cells	m84046_230413_204851_s3
